,Time,Tweets,Tweeter,Likes
0,2021-05-25 10:49:12,This new trend of flashing lights that many Okada men put on their bikes in Lagos can trigger seizures in some people.  It's a health hazard. Can lead to accidents.,aproko_doctor,2706
1,2021-05-25 07:22:10,"Let's make this clear, a person can have a seizure without having epilepsy, but you can't have epilepsy without having seizures.  Epilepsy is a brain condition that leads to REPEATED OR RECURRENT seizures.",aproko_doctor,413
2,2021-05-25 07:22:10,"Epilepsy can develop at any age,  But is usually diagnosed in early childhood or in the elderly  Is it hereditary?  If you have a parent whose epilepsy is linked to genetics, that increases your risk to 2 to 5 percent.",aproko_doctor,99
3,2021-05-25 07:22:09,"For a lot of people we can't tell what led to their seizures.  for others:  Brain injury serious illness or very high fever a stroke, which is a leading cause of epilepsy in people over age 35 lack of oxygen to the brain a brain tumor or cyst Drugs used by the mother...",aproko_doctor,69
4,2021-05-25 07:22:09,a lack of oxygen at birth diseases such as AIDS and meningitis which infects the coverings of the brain and spinal cord genetic or developmental disorders affecting the brain or neurological diseases which basically involve the nervous system,aproko_doctor,73
5,2021-05-25 07:22:08,"Some things can trigger a seizure including:   lack of sleep illness or fever (high fever) stress bright lights, flashing lights, or patterns caffeine, alcohol, medicines, or drugs skipping meals, overeating, or specific food ingredients",aproko_doctor,75
6,2021-05-25 07:22:07,"Some people may just be staring blankly into space or being unresponsive or just performing repetitive movements or even as simple as just having a strange taste in their mouth.   They are in fact having a seizure , it can last from a few seconds to minutes",aproko_doctor,81
7,2021-05-25 07:22:07,"Other seizures can come with jerky movements that may involve the whole muscles, or their body becoming stiff, they may lose consciousness or sleep immediately after  They may pee or shit on themselves immediately  Most people never remember their seizures,",aproko_doctor,71
8,2021-05-25 07:22:06,"Epilepsy is a disorder in the brain that causes seizures that are recurrent.  These seizures happen when there is a sudden haphazard rush of electricity or impulses in the brain.  For simplicity, Seizures can either be generalized or focal Involving all the brain or just part.",aproko_doctor,108
9,2021-05-25 07:22:06,Epilepsy is NOT contagious! Epilepsy is NOT contagious! Epilepsy is NOT contagious! Epilepsy is NOT contagious! Epilepsy is NOT contagious! Epilepsy is NOT contagious! Epilepsy is NOT contagious! Epilepsy is NOT contagious! Epilepsy is NOT contagious!,aproko_doctor,353
10,2021-05-24 20:05:49,"You are complaining about Lagos restaurants but last time you went on a date, you collected 17k for uber but na molue actually carry you come.  Unknown gun babes.",DrOlufunmilayo,3056
11,2021-05-24 19:46:10,"You see a product you want, you make note of it and start to save up for it.  When your money is complete, that product has added up to 50% of its initial price, now you have to either start afresh or dig into your funds.  That's the reality of so many people here.",aproko_doctor,7899
12,2021-05-24 19:14:40,Friends that grow together&gt;&gt;&gt;&gt;&gt;&gt;&gt;,aproko_doctor,11358
13,2021-05-24 13:24:09,"Many Christians hammer on ""Wives, submit to your husbands while conveniently leaving out verse 21 that says ""Submit one to another""  The submission is a two-way submission. Your wife is not your employee. You should serve one another and put each other's needs before yours.",aproko_doctor,13416
14,2021-05-24 13:20:00,"Please let’s help save Professor Adenuga. If you are reading this, please kindly help donate.  If you can/cannot donate, Please kindly help retweet this.  Your retweet helps to spread this awareness and hopefully we can get the help to save Prof’s life.  Thank you all. God bless.",DrOlufunmilayo,140
15,2021-05-24 13:18:03,"Unlike many others, To everyone who knew him, Prof was a fantastic teacher and an amazing man.  I was sad to hear that his kidneys had failed and now he has to have twice a week dialysis otherwise he could die.  Each week it costs at least 110,000 naira to do dialysis. EACH WEEK.",DrOlufunmilayo,156
16,2021-05-24 12:04:59,"If I want value for my money, places I've actually visited and tasted their food.  Mainland: Jevinik Island: Utazi or WaveBeach",aproko_doctor,6210
17,2021-05-24 11:01:00,"Check your emails regularly, they might be messages in there that may change your life.",aproko_doctor,19110
18,2021-05-24 10:36:10,"It is mainly in Lagos restaurants that people order from the right side of the menu before they look at the left  ""Yes, 4500! uses finger to trace the price to the left only to see garlic bread. Order and they'll serve you communion bread, where is the bakery please",aproko_doctor,6420
19,2021-05-24 08:59:59,"Then if the blood sugar is not properly controlled, that small injury refuses to heal and gets infected because of the high sugar content of the blood in that area.  Over time, this can lead to the death of the affected part and require doctors to cut out the infected part.",aproko_doctor,957
20,2021-05-23 21:25:54,Your friend’s wedding is almost here. Continue eating like a bandit every night.  Jumoke this is why they did not add you to bridal train. Before you will spoil photo.  You think I don’t know.,DrOlufunmilayo,1337
21,2021-05-23 20:59:49,"Always better to read bible, Than listen to people.  People say Eve gave Adam an apple. But Bible never ever called the fruit an apple.  People say 3wise men looked for Jesus. Bible never said the wise men were 3. They only brought 3kinds of gifts.  People always add their own.",DrOlufunmilayo,1282
22,2021-05-23 20:15:01,"Ever since I was robbed in my car last year in Lagos, my heart still jumps when someone gets too close to my window at any time of the day.  I don't think I've fully recovered.",aproko_doctor,13720
23,2021-05-23 18:11:46,"Don't just assume your genotype is AA because ""they told you"" when you were in primary school. Check it again at a reputable laboratory or hospital before you get married to be sure.",aproko_doctor,13846
24,2021-05-23 15:13:30,"People who don't want to see your worth will not see it, no matter how much mental and emotional gymnastics you do to try to convince them.  Simply focus on yourself and those who see your worth and value them. Ignore the rest.",aproko_doctor,8730
25,2021-05-23 12:51:31,“Submissive” in many cases only means: Easy to oppress. Easy to dominate.  It’s not always a positive word.,DrOlufunmilayo,643
26,2021-05-23 09:22:23,Sorry. The Senate President was there. But sadly the rest were not.,DrOlufunmilayo,283
27,2021-05-23 09:14:03,You will win.,aproko_doctor,21946
28,2021-05-23 08:48:13,"The President. Vice President. Senate President. Deputy Senate President. All of their wives.  None of the above went to COAS burial. And in fact, some ministers and governors went for a wedding party that yesterday.  Something is very deeply wrong. But one day we will all know.",DrOlufunmilayo,1828
29,2021-05-23 07:34:14,"Buhari was a former General. Yet as the dead Chief of Army Staff was buried 10 mins away from Aso Rock;  The President sits in Aso Rock crossing his legs over a stool, reading a newspaper upside down and using a toothpick to wipe his teeth.  This is not a country. This is a mess.",DrOlufunmilayo,1368
30,2021-05-22 23:55:03,"Imagine you work in a hospital as a doctor/nurse, your colleague dies while working to save a patient.  Then the day of his burial, The hospital director stays away from the burial and the other heads of departments go for a wedding party.  This is not a country. This is madness.",DrOlufunmilayo,1040
31,2021-05-22 22:12:46,"This was not a random person. Not a random citizen. Not a random soldier.  This was the Chief of Army Staff. The leader of the entire Army in the whole country. And the President ignored his burial.  If the COAS dies and is treated like this, What is the hope for the common man?",DrOlufunmilayo,781
32,2021-05-22 21:50:40,"Even in a primary school, If a student died, the school prefect will try to attend the burial as a show of respect.  The Chief of the entire Nigerian Army dies and his Commander in Chief, the President didn’t even think his burial was worth attending.  Is Nigeria worth dying for?",DrOlufunmilayo,1725
33,2021-05-22 20:54:43,Do women ever have enough clothes and shoes? Is there a point that it’s enough?,DrOlufunmilayo,2173
34,2021-05-22 18:48:29,His Chief of Staff died serving the country. He never went for his burial.  His Chief of Army Staff died serving the country. He never went for his burial.  This is the President of Nigeria. A man so brutally horrible that he doesn’t even give a shit about those closest to him.,DrOlufunmilayo,999
35,2021-05-22 17:53:53,"When people attend sensible universities where they are taught on public speaking, civil debate and intellectual discourse;  But in uni, we were doing: “Greatest Gbo” “Gbo”  “Greatest Gba” “Gba”  “I want to yarn” “Yarn”  “I want to speak” “Speak”  Smh.  “Bo ti e soro, o ti wole”",DrOlufunmilayo,996
36,2021-05-22 17:40:26,"Covenant University is producing first class graduates, making their students able to compete on the world stage, giving them a bright future.  My university lecturers are saying “Grade A belongs to God” and ruining the lives of students who roam around screaming Greatest Gbogbo.",DrOlufunmilayo,2602
37,2021-05-22 17:06:06,"You go to the mall to get a few things for your home and from the moment you walk in till you walk almost everyone is trying to get you to give them ""something""  Makes you realize just how difficult life is for a lot of people out there.  Then you add inflation.",aproko_doctor,7028
38,2021-05-22 16:24:09,Is it true Buhari did not attend burial and special prayers organised for the dead Chief of Army Staff?  Oh dear Lord. How does the leader of the entire Army die in service and the President doesn’t bother to step a foot at his burial?  How horrible and heartless can a person be?,DrOlufunmilayo,665
39,2021-05-22 16:00:06,"“A is for God, B is for VC” “2:1 in OAU is 1st class” “Medical student only need 50 to pass”  This is the stupid insane rhetoric that nigerian uni professors feed helpless students.  What we have is a shitty rotten system of academic oppression run by disgusting academic sadists.",DrOlufunmilayo,673
